,Player Full Name,Player First Name,Player Last Name,Player API ID,Teams
0,Precious Achiuwa,Precious,Achiuwa,1630173,"['Miami Heat', 'Toronto Raptors']"
1,Steven Adams,Steven,Adams,203500,"['Oklahoma City Thunder', 'New Orleans Pelicans', 'Memphis Grizzlies']"
2,Bam Adebayo,Bam,Adebayo,1628389,['Miami Heat']
3,Ochai Agbaji,Ochai,Agbaji,1630534,['Utah Jazz']
4,Santi Aldama,Santi,Aldama,1630583,['Memphis Grizzlies']
5,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1629638,"['New Orleans Pelicans', 'Utah Jazz', 'Minnesota Timberwolves']"
6,Grayson Allen,Grayson,Allen,1628960,"['Utah Jazz', 'Memphis Grizzlies', 'Milwaukee Bucks', 'Phoenix Suns']"
7,Jarrett Allen,Jarrett,Allen,1628386,"['Brooklyn Nets', 'Cleveland Cavaliers']"
8,Jose Alvarado,Jose,Alvarado,1630631,['New Orleans Pelicans']
9,Kyle Anderson,Kyle,Anderson,203937,"['San Antonio Spurs', 'Memphis Grizzlies', 'Minnesota Timberwolves']"
10,Giannis Antetokounmpo,Giannis,Antetokounmpo,203507,['Milwaukee Bucks']
11,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,203648,"['New York Knicks', 'Milwaukee Bucks']"
12,Cole Anthony,Cole,Anthony,1630175,['Orlando Magic']
13,OG Anunoby,OG,Anunoby,1628384,['Toronto Raptors']
14,Ryan Arcidiacono,Ryan,Arcidiacono,1627853,"['Chicago Bulls', 'New York Knicks', 'Portland Trail Blazers', 'New York Knicks']"
15,Deni Avdija,Deni,Avdija,1630166,['Washington Wizards']
16,Deandre Ayton,Deandre,Ayton,1629028,"['Phoenix Suns', 'Portland Trail Blazers']"
17,Udoka Azubuike,Udoka,Azubuike,1628962,"['Utah Jazz', 'Phoenix Suns']"
18,Marvin Bagley III,Marvin,Bagley III,1628963,"['Sacramento Kings', 'Detroit Pistons']"
19,Amari Bailey,Amari,Bailey,1641735,['Charlotte Hornets']
20,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,1631116,"['Golden State Warriors', 'Washington Wizards']"
21,LaMelo Ball,LaMelo,Ball,1630163,['Charlotte Hornets']
22,Lonzo Ball,Lonzo,Ball,1628366,"['Los Angeles Lakers', 'New Orleans Pelicans', 'Chicago Bulls']"
23,Mo Bamba,Mo,Bamba,1628964,"['Orlando Magic', 'Los Angeles Lakers', 'Philadelphia 76ers']"
24,Paolo Banchero,Paolo,Banchero,1631094,['Orlando Magic']
25,Desmond Bane,Desmond,Bane,1630217,['Memphis Grizzlies']
26,Dalano Banton,Dalano,Banton,1630625,"['Toronto Raptors', 'Boston Celtics']"
27,Dominick Barlow,Dominick,Barlow,1631230,['San Antonio Spurs']
28,Harrison Barnes,Harrison,Barnes,203084,"['Golden State Warriors', 'Dallas Mavericks', 'Sacramento Kings']"
29,Scottie Barnes,Scottie,Barnes,1630567,['Toronto Raptors']
30,RJ Barrett,RJ,Barrett,1629628,['New York Knicks']
31,Charles Bassey,Charles,Bassey,1629646,"['Philadelphia 76ers', 'San Antonio Spurs']"
32,Emoni Bates,Emoni,Bates,1641734,['Cleveland Cavaliers']
33,Keita Bates-Diop,Keita,Bates-Diop,1628966,"['Minnesota Timberwolves', 'Denver Nuggets', 'San Antonio Spurs', 'Phoenix Suns']"
