,Team Name,Location,Nickname,Team API ID,Image URL
0,Atlanta Hawks,Atlanta,Hawks,1610612737,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
1,Boston Celtics,Boston,Celtics,1610612738,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
2,Cleveland Cavaliers,Cleveland,Cavaliers,1610612739,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
3,New Orleans Pelicans,New Orleans,Pelicans,1610612740,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
4,Chicago Bulls,Chicago,Bulls,1610612741,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
5,Dallas Mavericks,Dallas,Mavericks,1610612742,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
6,Denver Nuggets,Denver,Nuggets,1610612743,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
7,Golden State Warriors,Golden State,Warriors,1610612744,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
8,Houston Rockets,Houston,Rockets,1610612745,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
9,Los Angeles Clippers,Los Angeles,Clippers,1610612746,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
10,Los Angeles Lakers,Los Angeles,Lakers,1610612747,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
11,Miami Heat,Miami,Heat,1610612748,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
12,Milwaukee Bucks,Milwaukee,Bucks,1610612749,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
13,Minnesota Timberwolves,Minnesota,Timberwolves,1610612750,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
14,Brooklyn Nets,Brooklyn,Nets,1610612751,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
15,New York Knicks,New York,Knicks,1610612752,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
16,Orlando Magic,Orlando,Magic,1610612753,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
17,Indiana Pacers,Indiana,Pacers,1610612754,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
18,Philadelphia 76ers,Philadelphia,76ers,1610612755,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
19,Phoenix Suns,Phoenix,Suns,1610612756,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
20,Portland Trail Blazers,Portland,Trail Blazers,1610612757,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
21,Sacramento Kings,Sacramento,Kings,1610612758,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
22,San Antonio Spurs,San Antonio,Spurs,1610612759,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
23,Oklahoma City Thunder,Oklahoma City,Thunder,1610612760,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
24,Toronto Raptors,Toronto,Raptors,1610612761,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
25,Utah Jazz,Utah,Jazz,1610612762,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
26,Memphis Grizzlies,Memphis,Grizzlies,1610612763,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
27,Washington Wizards,Washington,Wizards,1610612764,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
28,Detroit Pistons,Detroit,Pistons,1610612765,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
29,Charlotte Hornets,Charlotte,Hornets,1610612766,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
